"Work","Expression","Manifestation"
"W65","E26","M790"
"W66","E27","M146"
"W66","E27","M163"
"W66","E27","M217"
"W67","E28","M150"
"W67","E28","M155"
"W68","E29","M156"
"W68","E29","M188"
"W69","E30","M157"
"W69","E30","M189"
"W70","E31","M162"
"W70","E31","M168"
"W70","E31","M178"
"W70","E31","M186"
"W70","E31","M196"
"W70","E31","M205"
"W70","E31","M228"
"W70","E31","M255"
"W70","E31","M263"
"W70","E31","M496"
"W70","E31","M570"
"W70","E31","M615"
"W70","E31","M789"
"W71","E32","M169"
"W71","E32","M179"
"W71","E32","M187"
"W71","E32","M197"
"W71","E32","M206"
"W71","E32","M229"
"W71","E32","M256"
"W71","E32","M264"
"W71","E32","M296"
"W71","E32","M497"
"W71","E32","M571"
"W71","E32","M616"
"W71","E32","M788"
"W72","E33","M172"
"W72","E33","M182"
"W72","E33","M210"
"W72","E33","M262"
"W72","E33","M269"
"W72","E33","M298"
"W72","E33","M503"
"W72","E33","M575"
"W72","E33","M793"
"W73","E34","M173"
"W73","E34","M183"
"W73","E34","M192"
"W73","E34","M200"
"W73","E34","M211"
"W73","E34","M232"
"W73","E34","M259"
"W73","E34","M267"
"W73","E34","M507"
"W73","E34","M576"
"W73","E34","M620"
"W73","E34","M794"
"W74","E35","M194"
"W74","E35","M204"
"W74","E35","M221"
"W74","E35","M352"
"W74","E35","M486"
"W74","E35","M568"
"W74","E35","M784"
"W75","E36","M203"
"W75","E36","M485"
"W75","E36","M567"
"W75","E36","M783"
"W76","E37","M212"
"W76","E37","M223"
"W76","E37","M361"
"W76","E37","M509"
"W76","E37","M577"
"W76","E37","M795"
"W77","E38","M214"
"W77","E38","M224"
"W77","E38","M362"
"W77","E38","M511"
"W77","E38","M579"
"W77","E38","M797"
"W78","E39","M215"
"W78","E39","M369"
"W78","E39","M581"
"W78","E39","M799"
"W79","E40","M218"
"W79","E40","M1864"
"W79","E40","M2128"
"W80","E41","M220"
"W80","E41","M350"
"W80","E41","M482"
"W80","E41","M565"
"W81","E42","M222"
"W81","E42","M357"
"W81","E42","M501"
"W81","E42","M574"
"W81","E42","M792"
"W82","E43","M225"
"W82","E43","M363"
"W82","E43","M512"
"W82","E43","M580"
"W82","E43","M798"
"W83","E44","M226"
"W83","E44","M483"
"W83","E44","M566"
"W83","E44","M782"
"W84","E45","M227"
"W84","E45","M490"
"W84","E45","M569"
"W84","E45","M785"
"W85","E46","M234"
"W85","E46","M376"
"W86","E47","M238"
"W86","E47","M284"
"W86","E47","M341"
"W86","E47","M443"
"W86","E47","M445"
"W86","E47","M446"
"W86","E47","M513"
"W86","E47","M515"
"W86","E47","M553"
"W86","E47","M748"
"W86","E47","M775"
"W86","E47","M839"
"W86","E47","M840"
"W86","E47","M1091"
"W86","E47","M1099"
"W86","E47","M2247"
"W87","E48","M239"
"W87","E48","M253"
"W87","E48","M354"
"W88","E49","M242"
"W88","E49","M250"
"W89","E50","M243"
"W89","E50","M387"
"W89","E50","M645"
"W90","E51","M245"
"W90","E51","M2164"
"W91","E52","M270"
"W91","E52","M351"
"W92","E53","M272"
"W92","E53","M274"
"W92","E53","M299"
"W92","E53","M429"
"W92","E53","M430"
"W93","E54","M279"
"W93","E54","M349"
"W94","E55","M285"
"W94","E55","M1080"
"W95","E56","M295"
"W95","E56","M348"
"W95","E56","M536"
"W96","E57","M297"
"W96","E57","M356"
"W96","E57","M540"
"W97","E58","M306"
"W97","E58","M321"
"W97","E58","M334"
"W97","E58","M530"
"W98","E59","M310"
"W98","E59","M346"
"W99","E60","M318"
"W99","E60","M333"
"W99","E60","M529"
"W100","E61","M323"
"W100","E61","M388"
"W100","E61","M646"
"W101","E62","M329"
"W101","E62","M394"
"W101","E62","M653"
"W102","E63","M344"
"W102","E63","M381"
"W102","E63","M640"
"W103","E64","M345"
"W103","E64","M382"
"W103","E64","M641"
"W104","E65","M358"
"W104","E65","M541"
"W105","E66","M359"
"W105","E66","M440"
"W106","E67","M366"
"W106","E67","M600"
"W106","E67","M1450"
"W107","E68","M370"
"W107","E68","M652"
"W108","E70","M386"
"W108","E70","M643"
"W109","E71","M389"
"W109","E71","M648"
"W110","E73","M396"
"W110","E73","M557"
"W111","E74","M397"
"W111","E74","M654"
"W112","E75","M398"
"W112","E75","M655"
"W113","E76","M399"
"W113","E76","M656"
"W114","E77","M401"
"W114","E77","M603"
"W115","E79","M432"
"W115","E79","M444"
"W115","E79","M447"
"W115","E79","M514"
"W115","E79","M516"
"W115","E79","M558"
"W115","E79","M778"
"W116","E80","M441"
"W116","E80","M1199"
"W117","E81","M455"
"W117","E81","M644"
"W118","E82","M480"
"W118","E82","M481"
"W119","E83","M556"
"W119","E83","M917"
"W120","E84","M559"
"W120","E84","M582"
"W120","E84","M711"
"W121","E85","M560"
"W121","E85","M583"
"W121","E85","M713"
"W122","E86","M561"
"W122","E86","M584"
"W122","E86","M715"
"W123","E87","M562"
"W123","E87","M585"
"W123","E87","M717"
"W124","E88","M563"
"W124","E88","M586"
"W124","E88","M719"
"W125","E89","M564"
"W125","E89","M587"
"W125","E89","M721"
"W126","E102","M626"
"W126","E102","M745"
"W127","E103","M691"
"W127","E103","M966"
"W128","E104","M830"
"W128","E104","M860"
"W129","E105","M891"
"W129","E105","M1117"
"W130","E107","M952"
"W130","E107","M1052"
"W131","E108","M953"
"W131","E108","M954"
"W132","E110","M1096"
"W132","E110","M1583"
"W133","E111","M1152"
"W133","E111","M1845"
"W134","E112","M1158"
"W134","E112","M1362"
"W135","E113","M1162"
"W135","E113","M1322"
"W135","E113","M1410"
"W136","E114","M1182"
"W136","E114","M2009"
"W137","E115","M1196"
"W137","E115","M1460"
"W138","E116","M1228"
"W138","E116","M1723"
"W139","E117","M1250"
"W139","E117","M1774"
"W140","E118","M1262"
"W140","E118","M1777"
"W141","E120","M1279"
"W141","E120","M1345"
"W142","E121","M1280"
"W142","E121","M1317"
"W143","E122","M1285"
"W143","E122","M1324"
"W144","E123","M1297"
"W144","E123","M1794"
"W145","E124","M1299"
"W145","E124","M1908"
"W146","E125","M1304"
