"Work","Expression","Manifestation","Title","Lang","Author"
"W47","E8","M59","Joseph","Latin","Cornelius Crocus"
"W47","E8","M72","Joseph","Latin","Cornelius Crocus"
"W47","E8","M77","Joseph","Latin","Cornelius Crocus"
"W47","E8","M89","Joseph","Latin","Cornelius Crocus"
"W47","E8","M90","Joseph","Latin","Cornelius Crocus"
"W47","E8","M92","Joseph","Latin","Cornelius Crocus"
"W47","E8","M93","Joseph","Latin","Cornelius Crocus"
"W47","E8","M94","Joseph","Latin","Cornelius Crocus"
"W47","E8","M99","Joseph","Latin","Cornelius Crocus"
"W47","E8","M136","Joseph","Latin","Cornelius Crocus"
"W47","E8","M254","Joseph","Latin","Cornelius Crocus"
"W48","E9","M25","Petriscus","Latin","Georgius Macropedius"
"W48","E9","M61","Petriscus","Latin","Georgius Macropedius"
"W48","E9","M74","Petriscus","Latin","Georgius Macropedius"
"W48","E9","M75","Petriscus","Latin","Georgius Macropedius"
"W48","E9","M114","Petriscus","Latin","Georgius Macropedius"
"W49","E10","M28","Asotus","Latin","Georgius Macropedius"
"W49","E10","M49","Asotus","Latin","Georgius Macropedius"
"W49","E10","M51","Asotus","Latin","Georgius Macropedius"
"W49","E10","M67","Asotus","Latin","Georgius Macropedius"
"W49","E10","M104","Asotus","Latin","Georgius Macropedius"
"W49","E10","M117","Asotus","Latin","Georgius Macropedius"
"W50","E11","M35","Andrisca","Latin","Georgius Macropedius"
"W50","E11","M36","Andrisca","Latin","Georgius Macropedius"
"W50","E11","M55","Andrisca","Latin","Georgius Macropedius"
"W50","E11","M81","Andrisca","Latin","Georgius Macropedius"
"W50","E11","M87","Andrisca","Latin","Georgius Macropedius"
"W50","E11","M111","Andrisca","Latin","Georgius Macropedius"
"W51","E12","M37","Samarites","Latin","Petrus Papeus"
"W51","E12","M38","Samarites","Latin","Petrus Papeus"
"W51","E12","M48","Samarites","Latin","Petrus Papeus"
"W51","E12","M62","Samarites","Latin","Petrus Papeus"
"W51","E12","M63","Samarites","Latin","Petrus Papeus"
"W51","E12","M79","Samarites","Latin","Petrus Papeus"
"W52","E13","M39","Hecastus","Latin","Georgius Macropedius"
"W52","E13","M46","Hecastus","Latin","Georgius Macropedius"
"W52","E13","M58","Hecastus","Latin","Georgius Macropedius"
"W52","E13","M71","Hecastus","Latin","Georgius Macropedius"
"W52","E13","M98","Hecastus","Latin","Georgius Macropedius"
"W52","E13","M105","Hecastus","Latin","Georgius Macropedius"
"W53","E14","M42","Ovis perdita","Latin","Jacobus Zovitius"
"W53","E14","M60","Ovis perdita","Latin","Jacobus Zovitius"
"W53","E14","M73","Ovis perdita","Latin","Jacobus Zovitius"
"W54","E15","M50","Bassarus","Latin","Georgius Macropedius"
"W54","E15","M52","Bassarus","Latin","Georgius Macropedius"
"W54","E15","M53","Bassarus","Latin","Georgius Macropedius"
"W54","E15","M69","Bassarus","Latin","Georgius Macropedius"
"W54","E15","M112","Bassarus","Latin","Georgius Macropedius"
"W55","E16","M64","Lazarus mendicus","Latin","Georgius Macropedius"
"W55","E16","M65","Lazarus mendicus","Latin","Georgius Macropedius"
"W55","E16","M78","Lazarus mendicus","Latin","Georgius Macropedius"
"W55","E16","M88","Lazarus mendicus","Latin","Georgius Macropedius"
"W55","E16","M102","Lazarus mendicus","Latin","Georgius Macropedius"
"W55","E16","M106","Lazarus mendicus","Latin","Georgius Macropedius"
"W55","E16","M121","Lazarus mendicus","Latin","Georgius Macropedius"
"W55","E16","M148","Lazarus mendicus","Latin","Georgius Macropedius"
"W55","E16","M159","Lazarus mendicus","Latin","Georgius Macropedius"
"W56","E17","M66","Morosophus de vera ac personata sapientia","Latin","Guilielmus Gnapheus"
"W56","E17","M207","Morosophus de vera ac personata sapientia","Latin","Guilielmus Gnapheus"
"W57","E18","M83","Hypocrisis: de hypocrisis falsa religione, ficta d","Latin","Guilielmus Gnapheus"
"W57","E18","M133","Hypocrisis: de hypocrisis falsa religione, ficta d","Latin","Guilielmus Gnapheus"
"W57","E18","M158","Hypocrisis: de hypocrisis falsa religione, ficta d","Latin","Guilielmus Gnapheus"
"W58","E19","M84","Josephus","Latin","Georgius Macropedius"
"W58","E19","M113","Josephus","Latin","Georgius Macropedius"
"W59","E20","M96","Euripus","Latin","Livinus Brechtus"
"W59","E20","M138","Euripus","Latin","Livinus Brechtus"
"W60","E21","M108","Adamus","Latin","Georgius Macropedius"
"W60","E21","M109","Adamus","Latin","Georgius Macropedius"
"W61","E22","M126","Esthera Regina","Latin","Cornelius Laurimanus"
"W61","E22","M129","Esthera Regina","Latin","Cornelius Laurimanus"
"W62","E23","M141","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M165","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M171","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M181","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M191","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M199","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M209","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M231","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M258","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M266","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M500","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M573","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M618","Nehemias","Latin","Cornelius Schonaeus"
"W62","E23","M791","Nehemias","Latin","Cornelius Schonaeus"
"W63","E24","M142","Saulus conversus","Latin","Cornelius Schonaeus"
"W63","E24","M144","Saulus conversus","Latin","Cornelius Schonaeus"
"W63","E24","M154","Saulus conversus","Latin","Cornelius Schonaeus"
"W63","E24","M166","Saulus conversus","Latin","Cornelius Schonaeus"
"W64","E25","M143","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M152","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M167","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M174","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M185","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M193","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M201","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M213","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M233","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M241","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M247","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M260","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M268","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M273","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M300","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M510","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M578","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M621","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M622","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M796","Tobaeus","Latin","Cornelius Schonaeus"
"W64","E25","M803","Tobaeus","Latin","Cornelius Schonaeus"
"W65","E26","M145","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M153","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M164","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M170","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M180","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M190","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M198","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M208","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M230","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M257","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M265","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M499","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M572","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M617","Naaman","Latin","Cornelius Schonaeus"
"W65","E26","M790","Naaman","Latin","Cornelius Schonaeus"
"W66","E27","M146","Ajax lorarius","Latin","Josephus Justus Scaliger"
"W66","E27","M163","Ajax lorarius","Latin","Josephus Justus Scaliger"
"W66","E27","M217","Ajax lorarius","Latin","Josephus Justus Scaliger"
"W67","E28","M150","Petrus praedicans / Lysocilogenes","Latin","Jacobus Vivarius"
"W67","E28","M155","Petrus praedicans / Lysocilogenes","Latin","Jacobus Vivarius"
"W68","E29","M156","Macchabaeus sive constantia","Latin","Andreas Hoius"
